cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	
0.000000000000000E+000	0	0	0	1.041800049482845E+001	1.041800049482845E+001	2.4709110E+000	-2.879871682381764E-001	3.248474480377303E-005	3.248474480377303E-005	0.000000000000000E+000	-2.559886061482959E-006
0.000000000000000E+000	0	0	0	1.045200049644336E+001	1.045200049644336E+001	2.4604301E+000	-2.881110173709114E-001	3.520579343040784E-005	3.520579343040784E-005	0.000000000000000E+000	-2.721048626634810E-006
0.000000000000000E+000	0	0	0	1.048600049805827E+001	1.048600049805827E+001	2.4503825E+000	-2.881573687454116E-001	3.792727982004483E-005	3.792727982004483E-005	0.000000000000000E+000	-2.721486389636994E-006
0.000000000000000E+000	0	0	0	1.052200049976818E+001	1.052200049976818E+001	2.4400589E+000	-2.881444986228391E-001	4.080872494313451E-005	4.080872494313451E-005	0.000000000000000E+000	-2.881445123089684E-006
0.000000000000000E+000	0	0	0	1.056000050157309E+001	1.056000050157309E+001	2.4296172E+000	-2.880603973444686E-001	4.384936261508199E-005	4.384936261508199E-005	0.000000000000000E+000	-3.040637671947479E-006
0.000000000000000E+000	0	0	0	1.059800050337799E+001	1.059800050337799E+001	2.4195697E+000	-2.880085554228660E-001	4.688945306671989E-005	4.688945306671989E-005	0.000000000000000E+000	-3.040090451637904E-006
0.000000000000000E+000	0	0	0	1.063800050527789E+001	1.063800050527789E+001	2.4092855E+000	-2.881423053375841E-001	5.009103438920444E-005	5.009103438920444E-005	0.000000000000000E+000	-3.201581322484546E-006
0.000000000000000E+000	0	0	0	1.068000050727278E+001	1.068000050727278E+001	2.3989620E+000	-2.880475568762966E-001	5.345158937904569E-005	5.345158937904569E-005	0.000000000000000E+000	-3.360554989841249E-006
0.000000000000000E+000	0	0	0	1.072400050936267E+001	1.072400050936267E+001	2.3887174E+000	-2.881763291573219E-001	5.697374468048413E-005	5.697374468048413E-005	0.000000000000000E+000	-3.522155301438438E-006
0.000000000000000E+000	0	0	0	1.077000051154755E+001	1.077000051154755E+001	2.3784335E+000	-2.881226065865103E-001	6.065531149506568E-005	6.065531149506568E-005	0.000000000000000E+000	-3.681566814581553E-006
0.000000000000000E+000	0	0	0	1.081800051382743E+001	1.081800051382743E+001	2.3682282E+000	-2.881226055067161E-001	6.449694641762308E-005	6.449694641762308E-005	0.000000000000000E+000	-3.841634922557407E-006
